D88,D27,D14,D33,D36,D45,D57,D63,D54
178.4445,92.5583,1.4453,-83.353,-63.3473,165.7181,62.6097,68.0517,76.8519
-175.7238,-92.5926,0.7343,-179.8975,57.3213,65.0112,93.2661,72.4518,177.6598
-179.2796,91.6056,-0.9194,80.7838,-166.8556,64.6201,149.5203,61.9277,-161.9431
-179.597,-91.901,-2.0647,-177.1722,-167.1536,-169.5187,160.3514,62.4662,155.9903
178.1534,-86.338,179.0819,-177.4273,-165.1045,-52.2382,-63.1364,174.0227,-170.639
175.4645,92.5679,-1.7338,-177.9623,-61.7324,75.756,177.4826,-67.3568,74.9827
174.1326,-90.6169,-0.5246,82.6482,-165.1441,68.5849,112.0323,168.928,-167.476
173.8187,-87.1915,-149.2215,-114.367,176.2229,-51.366,-120.56,76.1563,-53.8912
177.5557,92.1445,-0.0127,-178.0804,-166.8685,66.5229,58.9541,65.1506,-169.9241
-177.4988,-92.0219,-2.3713,-176.3225,179.1778,178.2324,-70.0856,104.279,-50.3329
179.434,91.4113,-0.8119,85.7245,175.4286,-41.9701,-107.1746,82.301,-40.974
173.4207,-90.9303,0.1537,82.341,-166.7286,71.597,95.0183,70.3323,-169.0794
-175.1104,86.2776,177.5434,-178.3473,-69.9651,68.1995,94.6866,172.3371,-69.135
176.0179,92.8487,0.4662,179.3242,-67.3556,-176.9662,-92.9401,-70.9708,-76.0364
179.9736,-87.6603,-179.3775,81.6036,-165.1607,68.4445,111.8515,169.0711,-165.5811
177.9033,92.4925,2.846,176.0798,47.3464,54.4052,58.4352,65.3109,173.9983
174.3449,-85.882,-179.4045,-179.756,-59.5094,-52.0141,-74.5089,91.7465,175.8871
178.8469,92.0784,1.6194,178.1044,58.296,-71.4798,-90.1706,159.8921,-178.6405
178.395,87.4366,179.5118,-82.5437,-63.3498,-177.4379,-93.9982,62.9137,-76.3325
-175.0063,86.026,178.9505,-178.4361,-59.0977,-52.1591,-74.4485,92.0096,177.0192
-176.2517,-92.0955,-0.492,-82.8861,-64.1607,-169.9014,-67.1997,-45.9782,-179.7696
-172.2929,86.1401,-176.0704,-84.334,-62.675,70.7317,172.0534,64.403,73.0957
-176.1412,86.6384,177.0348,86.3975,-178.3806,66.8115,115.2285,-64.4536,-48.555
177.0824,-91.3643,-3.1135,82.156,-166.7094,65.1204,150.0882,61.8732,-164.2082
174.2386,92.3174,1.1815,-179.8609,57.581,64.4276,-163.2106,173.0306,176.9329
-179.9836,-87.178,176.8826,87.3387,173.2314,71.7878,94.1025,172.0072,-45.6128
-175.854,90.6477,-28.6496,99.8583,39.3053,170.6018,178.3411,-59.0134,-83.8572
173.0462,-86.2437,179.1034,-176.9568,177.3165,-177.3622,-71.0887,163.972,-53.1045
174.8373,-86.422,179.6541,-177.1209,176.8222,61.6954,70.3521,-81.2978,-50.4637
173.1343,89.6985,-147.4539,-127.9398,59.1782,65.3043,171.4604,68.8125,177.1099
-176.106,86.7291,175.3489,87.8534,172.8136,71.4121,93.9073,171.7592,-44.1706
172.5869,92.8427,-24.3344,105.4458,58.3916,162.5189,82.6119,130.6508,71.1123
-172.4897,86.9497,-153.4528,-111.0036,177.8872,-51.0086,-120.1142,76.2075,-55.4767
-174.4583,-92.6808,-2.6648,-177.3784,-61.2846,76.0494,177.6089,-67.2324,74.758
-171.2257,-92.2681,-3.677,87.1809,175.3893,178.0852,170.2082,71.8025,-51.4484
178.4199,-91.1805,4.8318,-86.205,-64.2549,72.7055,73.6291,75.0432,-68.4574
-176.9297,86.3206,178.3352,-176.5026,176.9153,61.8869,70.6825,-81.1105,-49.9034
-171.4179,-90.6809,104.6649,-82.2945,-64.2327,66.0757,-178.644,164.2822,71.9813
-170.749,86.012,-179.9414,178.594,-66.7717,-55.2992,-88.7326,111.7308,177.5153
-172.4922,-92.9644,1.6358,178.2709,-94.6805,50.812,74.6086,64.3524,177.4932
-172.6798,88.0596,77.1877,70.3546,171.6733,-175.6537,-97.7262,60.9718,49.6394
176.8907,92.4658,-1.5044,-178.5332,-70.1328,68.1928,94.0841,172.1475,-69.0063
-178.3576,-87.5528,-174.0094,-86.1393,-63.6431,72.1649,72.605,74.1944,-67.7344
175.773,-87.4496,-156.9179,-104.504,-167.0808,65.4566,159.9103,160.2369,-163.4121
-178.8512,-91.5061,-4.1686,88.4746,172.5098,71.3733,-91.0504,162.8935,-43.7295
-177.4439,86.9543,177.5847,86.158,173.9234,-50.0983,-87.9312,165.4093,-40.687
-175.2329,86.7795,-177.2765,-83.3743,-73.8174,64.4614,96.5419,172.9269,173.9366
-176.261,87.372,-161.2095,-99.5797,-159.2906,65.571,87.3119,72.0685,-166.6125
172.5705,92.7244,2.172,177.8371,-95.4327,50.6921,74.741,64.1812,176.9913
-168.969,-91.1807,-30.4082,104.3079,50.842,-82.6461,-160.291,172.0414,98.6261
176.7191,90.6722,23.6766,-105.055,-159.7412,-49.9879,-85.8521,165.4355,-166.8834
173.8109,-85.6642,-178.2144,176.7492,-96.2296,47.0519,77.2448,64.4257,-73.2311
-175.1662,-92.5925,-2.404,-175.7757,-179.7162,-43.6997,-88.0166,-36.3237,-46.3381
175.1503,-87.4484,160.9921,116.7511,-73.092,-55.1119,-85.9658,166.5198,-62.4118
173.1146,-86.4882,178.8179,-176.2914,179.9678,-43.9807,-88.0133,-36.1241,-46.6937
-174.4571,-92.4043,-0.1806,-81.9771,-68.7192,-54.4903,-88.4528,166.0676,-177.862
-175.7137,-92.4673,2.1222,177.0492,-86.6389,45.4109,178.5758,168.8927,72.7874
177.4767,-90.2457,21.7761,-114.0881,61.9399,68.4328,-171.6739,175.498,177.7175
175.0654,87.0379,-178.2981,80.4275,-174.045,-67.8416,96.5325,77.096,-167.8748
-171.301,-90.961,-28.4193,102.5338,46.7573,-170.8526,164.6848,162.1118,154.1704
-175.7287,-91.3063,21.7556,-103.4909,-158.4985,-50.08,-86.0223,165.4717,-164.6794
174.7378,-86.1923,-177.4648,176.7874,-86.887,45.4459,179.3486,169.4307,73.1254
-177.066,86.2373,178.8361,-177.5085,-166.8581,66.5493,58.8819,64.9431,-169.8243
174.0414,87.7841,-178.4716,80.8037,-171.8972,-161.0442,-102.6936,-65.5464,154.799
175.8416,92.7988,-2.9007,86.6865,175.4925,177.9949,169.9979,71.7856,-53.2978
178.2644,-86.5319,-179.7521,-178.6021,-170.0601,65.1093,152.7149,-72.206,-163.8996
173.8794,92.3591,2.6939,-83.5856,-73.7406,63.94,96.1969,172.5105,173.66
-179.6959,87.2842,176.6606,87.3494,174.3808,170.2623,171.861,-69.8202,-46.7797
-175.2086,-91.5905,20.0641,-100.3002,-159.3742,64.5001,-179.8101,73.9857,-168.5587
178.6914,-86.9605,177.4694,87.6178,172.937,71.5253,-91.3184,163.0373,-45.2045
