10x,10y,10z,12x,12y,12z,13x,13y,13z,30x,30y,30z,
-3.505510,0.518883,0.579210,-3.245818,-0.719809,-0.146411,-4.096332,-1.861153,0.209733,-3.334808,-0.557678,-1.147523,
-3.618713,-0.515378,0.320822,-3.657080,0.676209,-0.507584,-3.803223,1.948769,0.202747,-4.402791,0.594359,-1.197467,
3.982973,-0.749480,-0.202893,4.073371,0.597722,-0.734976,4.406319,1.690225,0.175800,3.282517,0.841674,-1.323831,
3.243554,-0.363762,0.146637,4.412722,-0.245909,-0.710943,5.340819,0.852084,-0.415338,4.070980,-0.139633,-1.664035,
3.672181,-0.516628,0.969249,4.999124,0.072301,0.920917,5.737679,-0.067842,-0.337271,4.898940,1.061695,1.137762,
-3.941784,0.913806,-0.943338,-4.444269,-0.406986,-1.258362,-5.232361,-1.190446,-0.304429,-3.740577,-0.985922,-1.703625,
3.413115,-0.247400,-0.254901,3.046021,0.941052,0.499974,3.339382,2.212582,-0.174237,3.567046,0.933820,1.376692,
3.877784,-0.712472,0.418140,4.130338,0.414767,-0.459767,4.259905,1.746861,0.124636,3.518865,0.428115,-1.270569,
-3.395816,1.082040,0.181087,-4.744061,0.557953,0.035802,-4.976496,-0.840402,0.437413,-5.374006,1.158168,0.557348,
-4.017277,-0.874578,-0.345361,-3.768355,0.508721,-0.749413,-4.468092,1.545566,0.019502,-4.017693,0.618489,-1.726985,
3.684272,-0.414624,-0.400278,3.429391,0.650222,0.551824,4.067369,1.944314,0.288019,2.425321,0.777663,0.639921,
3.428096,-0.438734,-0.408301,4.059271,0.653455,0.310962,5.456114,0.900125,-0.047548,4.011136,0.421554,1.301507,
3.845615,-0.643147,-0.173073,3.456634,0.665316,-0.665305,3.188865,1.698448,0.338635,2.653047,0.567087,-1.279167,
4.098448,-0.729341,-0.761473,4.389457,0.638889,-1.135029,4.932048,1.610150,-0.182986,3.642629,1.051513,-1.683236,
3.262471,0.818463,-0.671365,3.040801,-0.501210,-0.106130,4.239909,-1.339113,-0.021673,2.644202,-0.387630,0.823915,
-3.362851,-0.555272,-1.141690,-3.397886,0.809450,-0.650179,-4.643935,1.281318,-0.026255,-3.125931,1.441847,-1.393480,
-3.933115,-0.420186,0.880520,-3.227543,0.844499,0.955163,-3.335849,1.749341,-0.193154,-3.512024,1.341075,1.796319,
3.694722,-0.860099,-0.519246,4.558184,0.090623,0.156143,4.674260,1.434141,-0.407856,4.293525,0.131477,1.138822,
-3.850409,0.832874,-0.674402,-3.625776,-0.594768,-0.798148,-4.474439,-1.494851,-0.022779,-2.643757,-0.819638,-0.669616,
-3.746035,-0.018627,-0.037463,-3.051845,1.004747,0.722346,-2.355690,2.042970,-0.040742,-2.403182,0.559716,1.365392,
3.544678,-0.801829,-0.425612,4.516898,0.222926,-0.074113,5.919543,-0.139567,-0.318558,4.315306,1.064456,-0.608136,
3.612105,-0.662852,1.142243,3.855544,0.761137,0.997428,4.329097,1.269129,-0.289941,3.062065,1.299890,1.331474,
-3.208405,-1.123399,-0.768979,-4.314361,-0.176815,-0.831393,-5.258874,-0.194658,0.295184,-4.833246,-0.317690,-1.694906,
3.902100,-0.745439,0.006356,3.685201,0.578373,-0.547408,3.765391,1.724755,0.354983,2.828418,0.605334,-1.093582,
3.606500,1.114996,0.559902,4.461856,-0.020640,0.864691,5.445244,-0.390122,-0.159129,4.942173,0.128869,1.747987,
-4.048938,0.853117,-0.529331,-3.619700,-0.492144,-0.857491,-3.713429,-1.510291,0.192816,-4.120853,-0.816962,-1.680975,
3.701298,-0.636976,-0.234021,2.959196,0.618148,-0.221538,3.755461,1.846300,-0.147783,2.276999,0.591940,0.534504,
