D88,D27,D14,D33,D36,D45,D57,D63,D54
-173.2286,-92.763,1.3246,-84.0038,-64.2583,-166.438,-89.2813,163.6508,155.263
171.1361,93.0561,1.5447,-83.9593,-58.6668,-72.9751,-153.3336,78.3567,89.2816
171.1708,-85.6461,-177.8715,-83.9523,-58.6776,-72.9891,-153.3159,78.3602,89.2867
-173.3447,85.7855,-177.7486,176.1394,53.6839,-84.1715,-161.6951,-57.035,98.7439
172.3174,92.6886,2.8266,-85.1957,-63.3899,-162.0206,-105.6817,67.7419,157.4316
174.1848,-86.3652,179.1533,-177.0043,177.9091,176.0445,175.9016,-60.2449,-55.4156
174.4648,92.3913,-1.1507,-178.1611,178.6281,63.9667,89.1888,71.53,-49.8079
170.1096,-86.9533,151.7779,103.5707,49.9854,-83.0573,-159.9957,172.0438,98.8842
-172.8217,-92.6775,0.9051,-83.6144,-62.6813,-161.8939,-105.4647,67.5296,157.3273
-171.1632,87.1875,152.4885,102.4244,46.8118,-169.5258,159.6086,62.579,154.1123
173.6526,-85.7788,-176.1911,-85.4682,-64.3374,-166.2802,-89.1359,163.7683,155.0009
172.9251,93.1156,0.608,-179.5722,-60.7417,-73.9105,-153.9777,-56.209,90.704
-173.212,-92.7757,1.3098,-83.9939,-64.2572,-166.4368,-89.2826,163.6387,155.2615
-174.8249,-92.174,-2.0102,-177.7391,178.8199,64.2002,89.367,71.4873,-49.3119
-175.4336,85.9639,178.0215,-176.4771,178.0897,176.1199,175.7293,-60.1956,-54.8721
172.6983,-85.776,179.7423,-178.5745,-59.8179,-75.1604,109.2664,72.01,85.8588
170.7288,91.6685,-27.997,101.3256,45.0952,-170.7547,164.3498,162.0627,153.8156
172.3046,92.6536,2.7748,-85.1557,-63.3949,-162.026,-105.6802,67.7466,157.4346
-171.8414,-93.2718,-2.0216,-176.8327,-59.5056,-75.1621,109.277,71.9567,85.8324
177.4515,-86.9058,178.3363,85.9388,172.2548,-57.7735,177.89,63.7975,-41.9774
173.6442,-85.7717,-176.1917,-85.4676,-64.3381,-166.2811,-89.1391,163.7654,155.0026
172.899,-85.5463,-179.214,-179.5661,-60.7379,-73.9143,-153.9784,-56.2106,90.7077
172.2641,-85.9913,-176.6843,-85.1851,-63.4023,-162.0085,-105.6578,67.7314,157.4019
172.259,-85.976,-176.678,-85.1842,-63.4028,-162.0206,-105.6687,67.7357,157.4216
-172.6595,-92.8014,1.5474,176.6566,66.6743,175.9312,172.4349,-61.4311,50.8525
-173.3431,-92.8049,2.5398,176.1393,53.684,-84.1715,-161.6948,-57.0351,98.7438
171.2866,91.6976,-27.9351,101.1555,45.0495,-169.4536,159.381,62.7199,153.7667
172.7157,92.8555,-0.4702,-178.5778,-59.8173,-75.1606,109.2629,72.009,85.8598
-175.4293,86.1351,-178.9406,177.4877,53.0716,-168.6584,-88.035,163.6353,155.3432
-175.2429,-92.3717,1.2944,177.0379,65.5868,-178.5443,-76.8032,160.4021,50.9701
172.2194,92.8378,0.0474,-179.877,-63.4981,-160.2776,-103.3013,-65.4098,155.1272
-175.632,-92.4632,-1.0006,-179.5594,-65.3127,177.4148,174.0478,72.6623,-81.0674
-171.8324,-93.2794,-2.0287,-176.8278,-59.5018,-75.1586,109.2835,71.951,85.8279
-176.0525,-92.2323,-2.1528,86.2763,171.7948,-57.86,178.0723,63.8649,-40.4059
178.5175,-86.45,-179.4365,179.4066,-65.3453,177.3623,174.2065,72.8496,-81.1332
172.7219,92.8689,-0.4607,-178.5861,-59.8273,-75.1618,109.2785,72.0092,85.861
174.5773,92.6546,2.6499,175.786,66.5269,175.9802,172.4963,-61.4083,50.3733
-172.2423,85.6937,178.8621,-177.6797,-60.6752,-74.0706,-153.6249,-56.3402,90.7232
177.4625,-86.4386,-177.6668,176.4124,65.5002,-178.4574,-76.6869,160.5257,50.4302
171.3063,91.6708,-27.9345,101.1556,45.0512,-169.4536,159.3795,62.7178,153.7668
172.7195,92.8581,-0.4519,-178.5896,-59.8265,-75.1559,109.2818,72.0098,85.8445
172.1923,92.8509,0.0415,-179.8709,-63.4982,-160.2867,-103.3072,-65.405,155.1391
-172.2159,-93.1111,-0.8526,-179.0686,-63.2032,-160.6279,-103.5793,-65.4945,155.6941
171.807,92.9421,3.1977,175.8744,53.3232,-84.2219,-161.635,-57.1098,98.63
174.7394,92.6816,1.9968,177.4656,52.9308,-168.8788,-88.0319,163.6916,155.5537
-172.6585,86.0068,-178.8025,176.6565,66.6744,175.9312,172.435,-61.4311,50.8524
-174.97,-92.5095,1.12,177.7884,53.6622,-163.5189,-104.0406,67.7981,156.7837
-175.4059,86.1355,-178.9385,177.4868,53.0725,-168.6577,-88.0331,163.6368,155.3419
-172.2374,-93.1169,-1.143,-177.6842,-60.6797,-74.0775,-153.6152,-56.3529,90.725
