D88,D27,D14,D33,D36,D45,D57,D63,D54
-171.2331,-93.0712,0.1101,-82.8,-58.3802,-72.8629,-153.0858,78.4193,89.251
-175.4575,-92.6901,-2.1819,-176.467,178.0917,176.1189,175.7157,-60.1937,-54.8809
-171.2336,-93.066,0.1337,-82.8079,-58.3722,-72.8549,-153.0974,78.4136,89.2479
-172.566,-92.6715,-2.6178,-175.6694,-61.4908,-80.4598,133.691,164.0192,80.3848
-171.3061,-90.9654,-28.425,102.5337,46.754,-170.8542,164.6771,162.1131,154.1761
175.858,92.7849,-2.8998,86.6842,175.4978,177.9881,169.9938,71.7825,-53.3143
178.9191,90.6073,36.3429,-118.5245,175.0952,-62.2874,-175.249,164.6796,-52.9556
-171.1345,87.1643,152.4924,102.4235,46.8105,-169.5269,159.6113,62.5786,154.116
-168.9049,87.1821,151.0037,104.3122,50.8448,-82.6501,-160.2872,172.0331,98.6267
173.4449,92.7505,-1.6449,-176.6981,-61.8393,-80.7632,133.4086,164.1454,80.7725
173.7452,92.7239,3.1187,-85.2233,-64.7656,-169.038,163.0102,-70.6058,155.5223
-172.8376,-92.6659,0.8905,-83.6057,-62.6888,-161.9089,-105.4745,67.5338,157.3478
-175.0861,-92.6702,-2.2999,-176.3046,177.5274,-177.0913,-70.7896,164.1088,-52.5422
170.1067,92.0096,-29.9486,103.5708,49.9853,-83.0574,-159.9954,172.0439,98.8842
-179.6074,-91.9081,-2.0627,-177.1756,-167.1568,-169.5227,160.3574,62.461,155.9943
-172.8262,86.1028,-178.7242,-83.6071,-62.6825,-161.903,-105.4715,67.531,157.3407
-172.5748,-92.6835,-2.6006,-175.6767,-61.4928,-80.4481,133.675,164.0201,80.3834
-175.2291,86.4283,-179.011,177.0394,65.5851,-178.5463,-76.8088,160.3983,50.9755
174.4438,92.3985,-1.1554,-178.1569,178.6332,63.9676,89.1882,71.5299,-49.8164
-172.8006,-92.6774,0.9158,-83.6259,-62.6729,-161.8963,-105.4694,67.5227,157.3315
-175.425,-92.3796,1.2864,177.4875,53.0718,-168.6582,-88.0346,163.6356,155.343
-174.8524,86.4665,178.1043,-177.738,178.8153,64.2018,89.3693,71.4885,-49.3054
171.2653,92.8015,1.4947,-83.9178,-59.1795,-74.2005,-152.9439,172.5561,90.4231
177.4292,-86.4246,-177.6722,176.4153,65.5019,-178.4552,-76.6807,160.5318,50.4252
